Date,Username,Name,Before Price,After Price,Link
19-11-2024 15:40:54,gpmotoring,YAMAHA AEROX 155 USED BIKE SCOOTER CLASS CB,Not Slashed,"7,800",https://www.carousell.sg/p/yamaha-aerox-155-used-bike-scooter-class-cb-1326544743/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=0
19-11-2024 15:40:54,lengzaai09,Aerox V1,Not Slashed,"2,000",https://www.carousell.sg/p/aerox-v1-1331807099/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=1
19-11-2024 15:40:54,creationmotorworld,YAMAHA AEROX V1  ABS 2029,Not Slashed,"6,500",https://www.carousell.sg/p/yamaha-aerox-v1-abs-2029-1337120271/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=2
19-11-2024 15:40:54,roadrunnermotor,YAMAHA AEROX (08/2030) LOW MILEAGE,Not Slashed,"8,488",https://www.carousell.sg/p/yamaha-aerox-08-2030-low-mileage-1336268836/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=3
19-11-2024 15:40:54,xin08,Aerox v1 keyless,Not Slashed,"8,888",https://www.carousell.sg/p/aerox-v1-keyless-1320657117/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=5
19-11-2024 15:40:54,jw_washing,Aerox 2018,"3,000","2,800",https://www.carousell.sg/p/aerox-2018-1326539404/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=6
19-11-2024 15:40:54,hlcycle,YAMAHA AEROX 155 V2 COE TILL 2031,Not Slashed,"10,500",https://www.carousell.sg/p/yamaha-aerox-155-v2-coe-till-2031-1333243962/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=7
19-11-2024 15:40:54,dexingmotor,"YAMAHA AEROX, COE APRIL 2029, $500 DP, 6% Interest.",Not Slashed,"6,300",https://www.carousell.sg/p/yamaha-aerox-coe-april-2029-500-dp-6-interest-1335855777/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=8
19-11-2024 15:40:54,ktm_albertmotorsupply,Yamaha AEROX GDR155 CVT,Not Slashed,"8,800",https://www.carousell.sg/p/yamaha-aerox-gdr155-cvt-1330296046/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=9
19-11-2024 15:40:54,mangostickybike,Aerox Coe 2028 Nov Renewable,Not Slashed,"5,688",https://www.carousell.sg/p/aerox-coe-2028-nov-renewable-1336808366/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=QcmsJbkutNCoJb7f&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=10
