Date,Username,Name,Before Price,After Price,Link
19-11-2024 15:40:54,gpmotoring,YAMAHA NMAX 155 USED BIKE SCOOTER CLASS 2B,"11,300","10,500",https://www.carousell.sg/p/yamaha-nmax-155-used-bike-scooter-class-2b-1331623156/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=0
19-11-2024 15:40:54,bikelife99,Yamaha Nmax 155,"13,000","10,500",https://www.carousell.sg/p/yamaha-nmax-155-1329485108/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=1
19-11-2024 15:40:54,spheremotor.ubi,2031 YAMAHA NMAX 155,Not Slashed,"11,499",https://www.carousell.sg/p/2031-yamaha-nmax-155-1323294035/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=2
19-11-2024 15:40:54,azone8888,YAMAHA NMAX V1 2019,Not Slashed,"8,500",https://www.carousell.sg/p/yamaha-nmax-v1-2019-1326513979/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=3
19-11-2024 15:40:54,revologybikes,2B PRE-OWNED SCOOTERS FOR SALE ! YAMAHA AEROX 155 | YAMAHA AEROX 155 V2 | YAMAHA NMAX 155 | HONDA ADV 150 ,Not Slashed,"1,888",https://www.carousell.sg/p/2b-pre-owned-scooters-for-sale-yamaha-aerox-155-yamaha-aerox-155-v2-yamaha-nmax-155-honda-adv-150-1292893516/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=5
19-11-2024 15:40:54,ah_seng_ams,Yamaha Nmax 155 v2,Not Slashed,"12,000",https://www.carousell.sg/p/yamaha-nmax-155-v2-1334791309/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=6
19-11-2024 15:40:54,shanida37701851,Nmax 155 V2,Not Slashed,"4,300",https://www.carousell.sg/p/nmax-155-v2-1337056049/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=7
19-11-2024 15:40:54,rusty.gold,NMAX OHLINS,Not Slashed,500,https://www.carousell.sg/p/nmax-ohlins-1335387024/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=8
19-11-2024 15:40:54,ulijohnroth,Yamaha Nmax 155 (2019),Not Slashed,"8,500",https://www.carousell.sg/p/yamaha-nmax-155-2019-1326487439/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=9
19-11-2024 15:40:54,isureforget,Yamaha nmax 155 2021,Not Slashed,"10,800",https://www.carousell.sg/p/yamaha-nmax-155-2021-1335043307/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=10
19-11-2024 15:40:54,buyfrommelah23,Yamaha Nmax V1 For COI,Not Slashed,350,https://www.carousell.sg/p/yamaha-nmax-v1-for-coi-1336953119/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=11
19-11-2024 15:40:54,onn99,N-Max 155 V2  ( Used ),Not Slashed,"10,800",https://www.carousell.sg/p/n-max-155-v2-used-1336933325/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=oXgjznpRKynRz9jS&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=13
