Date,Username,Name,Before Price,After Price,Link
19-11-2024 15:40:54,bikeprod,"YAMAHA SNIPER T155, Y16 (ABS MODEL!!!)",Not Slashed,"14,000",https://www.carousell.sg/p/yamaha-sniper-t155-y16-abs-model-1303313543/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=0
19-11-2024 15:40:54,bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V2,Not Slashed,"8,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v2-1317978869/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=1
19-11-2024 15:40:54,akuma_jigoku_no,Yamaha y16 sniper v3 y16zr,Not Slashed,"13,888",https://www.carousell.sg/p/yamaha-y16-sniper-v3-y16zr-1325228546/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=2
19-11-2024 15:40:54,ministryofbikez,Y16,Not Slashed,"1,500",https://www.carousell.sg/p/y16-1326748475/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=3
19-11-2024 15:40:54,bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V1,"7,800","6,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v1-1299336237/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=5
19-11-2024 15:40:54,dblackpanthaaa,Y16 trade,Not Slashed,0,https://www.carousell.sg/p/y16-trade-1324407961/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=6
19-11-2024 15:40:54,theportrait.sg,2031 Yamaha Sniper V3 T155 Y16 Y16ZR,Not Slashed,"9,800",https://www.carousell.sg/p/2031-yamaha-sniper-v3-t155-y16-y16zr-1329617892/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=7
19-11-2024 15:40:54,bikechoiceamk,$388 rideaway Y16!,Not Slashed,388,https://www.carousell.sg/p/388-rideaway-y16-1330802166/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=8
19-11-2024 15:40:54,bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V2,Not Slashed,"8,800",https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v2-1320145999/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=9
19-11-2024 15:40:54,bikechoice.wcega,YAMAHA SNIPER T150 | Y16 | Y15 | SNIPER 155 | EXCITER 155 | SNIPER 150 V2,254,180,https://www.carousell.sg/p/yamaha-sniper-t150-y16-y15-sniper-155-exciter-155-sniper-150-v2-1317982977/?t-id=Jx1Ykzr7t9_1732002055802&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=M4bp0yIqSxjnI92V&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=10
